no,text
8001,냉각팬은 누적 가동 4000시간 또는 6개월 중 먼저 도래하는 시점에 교체한다.
8002,냉각팬 교체 후에는 회전 소음을 반드시 재측정하고 기록한다.
8003,평균 응답 지연이 400ms 를 넘으면 통신 구간부터 점검한다.
8004,응답 지연 점검은 중계기 쪽을 먼저 보고 그다음 처리 부하를 본다.
8005,재부팅이 한 주에 12회를 넘으면 전원부를 교체 대상으로 올린다.
8006,재부팅 기록은 자동으로 남으므로 따로 적지 않는다.
8007,배포된 개선안은 적용 전에 배포처를 확인하고 시험 장비에서 30일간 관찰한다.
8008,개선안 적용 후 이상이 생기면 7일 안에 이전 판으로 되돌릴 수 있다.
8009,되돌린 뒤에는 같은 개선안을 다시 적용하지 않는다.
8010,관제 로그는 180일간 보관하고 그 뒤에는 요약본만 남긴다.
8011,정기 점검은 90일마다 하고 점검표는 두 부를 만든다.
8012,야간 무인 운행은 관제 승인을 받은 노선에서만 한다.
8013,보조 배터리는 잔량이 70% 밑으로 떨어지면 교체한다.
8014,배터리 교체는 전원을 완전히 내린 상태에서만 한다.
8015,통신 중계기 점검은 분기에 한 번 하고 우천 시에는 미룬다.
8016,중계기 신호 세기가 기준의 절반 아래로 떨어지면 즉시 신고한다.
8017,관제 단말의 화면이 멈추면 먼저 통신을 보고 그다음 본체 열을 본다.
8018,본체 표면 온도가 60도를 넘으면 가동을 멈추고 식힌다.
8019,저장 공간이 90% 이상 차면 오래된 로그부터 지운다.
8020,로그를 지우기 전에 요약본이 만들어졌는지 확인한다.
8021,부팅 도중 멈추면 전원을 내리고 3분 뒤에 다시 올린다.
8022,세 번 연속 부팅에 실패하면 현장에서 손대지 말고 접수한다.
8023,경로 안내가 중간에 바뀌면 관제 쪽 설정을 먼저 확인한다.
8024,배차 순번이 뒤바뀌는 증상은 관제 담당이 처리한다.
8025,각인 판독기는 렌즈를 주 1회 닦고 조도를 함께 확인한다.
8026,판독 실패가 하루 20건을 넘으면 조도부터 다시 맞춘다.
8027,정렬 장치는 수동으로 시작한 날에 불량이 늘어나므로 자동 정렬을 기본으로 둔다.
8028,수동 정렬로 시작해야 하면 그날 검사 표본을 두 배로 늘린다.
8029,설비 이관 시에는 점검 이력을 함께 넘기고 받은 쪽이 확인 서명을 한다.
8030,이력이 없는 설비는 처음 점검한 날을 기준일로 삼는다.
8031,예비 부품은 최소 두 벌을 두고 한 벌을 쓰면 바로 채운다.
8032,부품 발주는 정비운영팀을 거쳐서 한다.
8033,작업 중 발생한 경보는 해제하지 말고 그대로 두고 접수한다.
8034,경보를 해제한 기록이 있으면 그 건은 재점검 대상이 된다.
8035,외부 업체가 손댄 설비는 다음 정기 점검을 앞당겨 잡는다.
8036,연락이 닿지 않는 제조사의 설비는 사내 기준으로 점검한다.
