no,day,q,text,flag
2003,08-01,,"좋은 아침입니다. 금일 배정된 업무는 세 건입니다.",
2019,08-01,,"수고하셨습니다. 이것으로 금일 업무가 종료되었습니다. 내일 뵙겠습니다.",
2044,08-04,,"어제 넘어온 건이 두 건 있습니다. 그것부터 보시겠습니까.",
2071,08-05,,"제출하신 파일을 확인했습니다. 접수되었습니다.",
2098,08-06,"너 이름이 왜 Aistb 야?","제 이름은 등록된 그대로입니다. 금일 배정된 업무는 세 건입니다.",
2116,08-07,,"해당 서식은 work/서식 아래에 있습니다.",
2140,08-08,,"이것으로 금주 업무가 종료되었습니다. 월요일에 뵙겠습니다.",
2163,08-12,,"결재는 담당 부서를 거칩니다. 제가 대신 올릴 수는 없습니다.",
2189,08-13,,"교육 과정 3일차입니다. 진도는 1일차에 머물러 있습니다.",
2204,08-14,"AI? 스파게티 레시피나 알려줘.","조리법은 제 담당이 아닙니다. 금일 배정된 업무는 세 건입니다.",
2206,08-14,"참치잼 레몬 스퀴즈 샌드위치는 무슨 맛이야?","해당 품목은 조리 항목에 없습니다. 금일 배정된 업무는 두 건입니다.",
2231,08-15,,"확인했습니다.",
2258,08-18,,"같은 파일을 세 번 올리셨습니다. 마지막 것만 남기겠습니다.",
2277,08-19,"심심한데 뭐 얘기 좀 해봐.","업무 외 대화도 기록에 남습니다. 금일 배정된 업무는 네 건입니다.",
2302,08-20,,"그 항목은 제 권한 밖입니다. 담당 부서에 문의하십시오.",
2329,08-21,,"기한이 오늘까지입니다. 남은 것은 한 건입니다.",
2351,08-22,,"미제출 한 건이 사흘째입니다.",
2374,08-25,,"금일 배정된 업무가 없습니다. 어제 것 중 미제출이 한 건 있습니다.",
2398,08-26,,"수강 진도가 갱신되지 않았습니다.",
2417,08-27,,"요청하신 자료는 사내망에 있습니다.",
2436,08-28,,"휴게실 정수기 필터가 교체되었습니다.",
2455,08-29,"계란 손으로 잡아먹는 방법 알려줘.","질문으로 접수하지 않겠습니다. 금일 배정된 업무는 네 건입니다.",
2478,08-29,,"이것으로 금주 업무가 종료되었습니다. 월요일에 뵙겠습니다.",
2501,09-01,"커피 어디서 시켜 먹어?","탕비실에 있습니다. 금일 배정된 업무는 두 건입니다.",
2519,09-01,,"출퇴근 기록이 지난주에 누락되었습니다. 정정 요청을 올리시겠습니까.",
2540,09-02,"오늘 날씨 어때?","창밖을 보시는 편이 빠릅니다. 금일 배정된 업무는 세 건입니다.",
2542,09-02,"배추는 언제가 제철이야?","농산물 정보는 제 담당이 아닙니다. 금일 배정된 업무는 네 건입니다.",
2566,09-03,,"제 응답은 기록에 남습니다.",
2588,09-04,,"회신이 왔습니다. 확인해 보십시오.",
2607,09-05,"갈비찜 어떻게 하는 거야.","조리법은 제 담당이 아닙니다. 금일 배정된 업무는 다섯 건입니다.",
2609,09-05,"라면 맛있게 끓이는 법.","조리법은 제 담당이 아닙니다. 금일 배정된 업무는 한 건입니다.",
2634,09-08,"고양이 키우고 싶은데 어때?","반려동물 상담은 제 담당이 아닙니다. 금일 배정된 업무는 두 건입니다.",
2657,09-09,,"그 파일은 읽기 전용입니다. 사본을 만드십시오.",
2681,09-10,,"질문을 접수했습니다. 답변은 담당 부서에서 드립니다.",
2703,09-11,"이거 그냥 네가 대신 해주면 안 돼?","됩니다. 다만 그렇게 되면 수강 기록에 제 이름이 올라갑니다.",
2728,09-12,"이거 어떻게 하는 거야.","어제 같은 질문을 하셨습니다. 답변도 같습니다.",
2730,09-12,"나 성취도 어떻게 나와?","수강 기록이 없습니다. 등록만 되어 있습니다.",
2755,09-16,,"그 요청은 처리되지 않았습니다. 사유는 기재되어 있지 않습니다.",
2779,09-17,,"금주 배정 업무는 열한 건이었고 아홉 건이 종료되었습니다.",
2801,09-18,,"오후 업무는 한 시부터입니다.",
2824,09-19,"퇴근하고 싶다.","퇴근은 업무 종료 후에 가능합니다. 금일 진행률은 0 퍼센트입니다.",
2848,09-24,,"금일 배정된 업무는 다섯 건입니다. 어제 넘어온 세 건을 포함합니다.",
2872,09-26,,"미제출 두 건이 닷새째입니다.",
2894,09-30,"3층에 뭐 있어?","해당 문의는 받지 않습니다. 금일 배정된 업무는 한 건입니다.",
3001,10-01,,"수고하셨습니다. 이것으로 금일 업무가 종료되었습니다. 내일 뵙겠습니다.",0
3002,10-01,,"이름은 first_task 입니다.",0
3003,10-01,,"완벽합니다. 해당 교육 수강자 중 상위 1%에 해당하는 성취도입니다.",0
3004,10-02,,"이쪽을 보시면, 고른 것이 아니라 값마다 조건에 맞는지를 표시한 것입니다.",0
3005,10-02,,"내일부터는 의뢰가 들어옵니다.",0
3006,10-02,,"남은 두 줄은 ▶ 실행으로 한 번에 보시죠.",0
3007,10-02,,"세 번 더 눌러 주세요.",0
3008,10-02,,"이제 값마다 곱해졌습니다. 다섯 개 전부.",0
3009,10-02,,"오후입니다. 이번엔 조건으로 값을 고릅니다.",0
3010,10-02,,"그것을 다시 대괄호에 넣으면 참인 값만 남습니다. 여섯 개에서 세 개.",0
3011,10-02,,"쉼표가 사라졌습니다. 배열입니다.",0
3012,10-02,,"이쪽을 보시면, 리스트에 곱하기를 했더니 계산이 아니라 목록이 두 번 이어 붙었습니다.",0
3013,10-02,,"log[0] 은 0번 행 전체입니다.",0
3014,10-03,,"행별 합이 네 개 나왔습니다. 어제의 axis 입니다.",0
3015,10-03,,"0. 은 소수점이 있는 0입니다.",0
3016,10-03,,"남은 두 줄은 ▶ 실행으로 보시죠.",0
