no,question,answer_no
9001,냉각팬은 얼마마다 갈아야 합니까?,0
9002,냉각팬 갈고 나서 뭘 해야 합니까?,1
9003,응답 지연이 얼마를 넘으면 통신을 봅니까?,2
9004,재부팅이 몇 번을 넘으면 전원부를 봅니까?,4
9005,개선안은 적용 전에 무엇을 합니까?,6
9006,개선안 적용하고 이상하면 며칠 안에 되돌립니까?,7
9007,로그는 며칠이나 보관합니까?,9
9008,정기 점검은 며칠마다 합니까?,10
9009,배터리는 언제 교체합니까?,12
9010,배터리 교체할 때 전원은 어떻게 합니까?,13
9011,중계기 점검은 얼마마다 합니까?,14
9012,화면이 멈추면 뭐부터 봅니까?,16
9013,본체 표면 온도가 몇 도를 넘으면 멈춥니까?,17
9014,저장 공간이 얼마나 차면 로그를 지웁니까?,18
9015,로그 지우기 전에 뭘 확인합니까?,19
9016,부팅 도중에 멈추면 어떻게 합니까?,20
9017,판독 실패가 많으면 뭘 맞춥니까?,25
9018,수동 정렬로 시작하면 어떻게 합니까?,27
9019,이력 없는 장비는 기준일을 뭘로 잡습니까?,29
9020,경보 해제한 건은 어떻게 됩니까?,33
9021,외부에서 손댄 장비는 어떻게 합니까?,34
9022,판독기 렌즈는 얼마마다 닦습니까?,24
9023,부팅이 계속 안 되면 어떻게 합니까?,21
9024,경보 울린 거 그냥 꺼도 됩니까?,32
9025,야간에 무인으로 돌려도 됩니까?,11
9026,중계기 신호가 약하면 어떻게 합니까?,15
9027,부품은 어디를 거쳐 시킵니까?,31
